2024-06-25 12:18:59,424 INFO    MainThread:217226 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_setup.py:_flush():76] Configure stats pid to 217226
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_setup.py:_flush():76] Loading settings from /home/macula/SMATousi/.config/wandb/settings
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_setup.py:_flush():76] Loading settings from /home/macula/SMATousi/snorkel/attention_snorkel/wandb/settings
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_init.py:_log_setup():507] Logging user logs to /home/macula/SMATousi/snorkel/attention_snorkel/wandb/run-20240625_121859-w04zktnz/logs/debug.log
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_init.py:_log_setup():508] Logging internal logs to /home/macula/SMATousi/snorkel/attention_snorkel/wandb/run-20240625_121859-w04zktnz/logs/debug-internal.log
2024-06-25 12:18:59,425 INFO    MainThread:217226 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fd05b96cd50>
2024-06-25 12:18:59,426 INFO    MainThread:217226 [wandb_init.py:init():547] calling init triggers
2024-06-25 12:18:59,426 INFO    MainThread:217226 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {}
2024-06-25 12:18:59,426 INFO    MainThread:217226 [wandb_init.py:init():596] starting backend
2024-06-25 12:18:59,426 INFO    MainThread:217226 [wandb_init.py:init():600] setting up manager
2024-06-25 12:18:59,430 INFO    MainThread:217226 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-25 12:18:59,437 INFO    MainThread:217226 [wandb_init.py:init():606] backend started and connected
2024-06-25 12:18:59,444 INFO    MainThread:217226 [wandb_run.py:_label_probe_notebook():1235] probe notebook
2024-06-25 12:18:59,446 INFO    MainThread:217226 [wandb_init.py:init():703] updated telemetry
2024-06-25 12:18:59,541 INFO    MainThread:217226 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2024-06-25 12:18:59,827 INFO    MainThread:217226 [wandb_run.py:_on_init():2176] communicating current version
2024-06-25 12:18:59,999 INFO    MainThread:217226 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.17.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-25 12:18:59,999 INFO    MainThread:217226 [wandb_init.py:init():787] starting run threads in backend
2024-06-25 12:19:05,301 INFO    MainThread:217226 [wandb_run.py:_console_start():2155] atexit reg
2024-06-25 12:19:05,302 INFO    MainThread:217226 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2024-06-25 12:19:05,302 INFO    MainThread:217226 [wandb_run.py:_redirect():2075] Wrapping output streams.
2024-06-25 12:19:05,302 INFO    MainThread:217226 [wandb_run.py:_redirect():2100] Redirects installed.
2024-06-25 12:19:05,303 INFO    MainThread:217226 [wandb_init.py:init():828] run started, returning control to user process
